"IID","Pop","Color","Predicted_Ancestry","PC1","PC2","PC3","PC4"
"NA18135","CHD","goldenrod1","CHD",-0.00334336,0.0569205,0.0012549,0.000429257
"NA18136","CHD","goldenrod1","CHD",-0.00367254,0.0555595,0.00227559,0.00105495
"NA18138","CHD","goldenrod1","CHD",-0.00363376,0.0544794,-0.00682027,-0.000787941
"NA18139","CHD","goldenrod1","CHD",-0.00354102,0.0560195,0.000727409,-0.00246298
"NA18140","CHD","goldenrod1","CHD",-0.0034953,0.0565403,0.000133333,0.00184503
"NA18141","CHD","goldenrod1","CHD",-0.0030619,0.055133,0.000836838,0.00275426
"NA18143","CHD","goldenrod1","CHD",-0.00298972,0.056144,0.00154817,0.000519468
"NA18144","CHD","goldenrod1","CHD",-0.00331343,0.0563338,0.00322851,0.0017092
"NA18146","CHD","goldenrod1","CHD",-0.00305732,0.0563676,0.0026778,-0.00347204
"NA18147","CHD","goldenrod1","CHD",-0.00291831,0.0557477,0.000893182,-0.00160785
"NA18148","CHD","goldenrod1","CHD",-0.00321604,0.0558729,0.00140574,0.00279339
"NA18149","CHD","goldenrod1","CHD",-0.00291871,0.055853,0.000117327,-0.0027461
"NA18150","CHD","goldenrod1","CHD",-0.00287704,0.0557269,0.00298775,-0.00103911
"NA18151","CHD","goldenrod1","CHD",-0.0030999,0.0565761,0.00386859,-0.00324936
"NA18152","CHD","goldenrod1","CHD",-0.00351436,0.0559044,0.00227195,-0.000164853
"NA18153","CHD","goldenrod1","CHD",-0.00381763,0.0559172,0.000789677,-0.00239907
"NA18154","CHD","goldenrod1","CHD",-0.00323975,0.0559564,0.00104164,-0.000119927
"NA18155","CHD","goldenrod1","CHD",-0.00338644,0.0574814,0.000470319,-0.00141413
"NA18156","CHD","goldenrod1","CHD",-0.00300233,0.055313,0.00239002,-0.00028883
"NA18157","CHD","goldenrod1","CHD",-0.00348547,0.0573258,0.00161055,0.000239298
"NA18158","CHD","goldenrod1","CHD",-0.00295076,0.0554869,0.00289418,-0.00114235
"NA18159","CHD","goldenrod1","CHD",-0.00281655,0.0560872,0.00130163,-0.000978786
"NA18160","CHD","goldenrod1","CHD",-0.00349927,0.0561306,0.00225568,-0.00259338
"NA18161","CHD","goldenrod1","CHD",-0.00284903,0.055118,0.00208926,-0.00154898
"NA18162","CHD","goldenrod1","CHD",-0.00274709,0.0563284,0.000646369,0.00330669
"NA18166","CHD","goldenrod1","CHD",-0.00385433,0.0567018,-0.000247907,6.19481e-05
"NA18484","YRI","orchid3","YRI",-0.0450493,-0.00915803,0.00555659,-0.0293353
"NA18485","YRI","orchid3","YRI",-0.0451144,-0.00859124,0.00509882,-0.0296532
"NA18486","YRI","orchid3","YRI",-0.0447946,-0.00844186,0.00688617,-0.0266695
"NA18487","YRI","orchid3","YRI",-0.0447192,-0.00937229,0.00588876,-0.0259362
"NA18488","YRI","orchid3","YRI",-0.0452963,-0.00927906,0.00427104,-0.0314366
"NA18489","YRI","orchid3","YRI",-0.0452114,-0.00837784,0.00598698,-0.0307214
"NA18497","YRI","orchid3","YRI",-0.0454237,-0.00890059,0.00747373,-0.0291118
"NA18498","YRI","orchid3","YRI",-0.044815,-0.0096825,0.00667251,-0.029517
"NA18499","YRI","orchid3","YRI",-0.0452957,-0.00736775,0.00719525,-0.0273857
"NA18500","YRI","orchid3","YRI",-0.0448876,-0.00824331,0.00643169,-0.0289959
"NA18501","YRI","orchid3","YRI",-0.0451759,-0.00778762,0.00435459,-0.0265923
"NA18503","YRI","orchid3","YRI",-0.0461341,-0.00856507,0.00700718,-0.0355509
"NA18504","YRI","orchid3","YRI",-0.0457434,-0.00812786,0.00627285,-0.0295809
"NA18505","YRI","orchid3","YRI",-0.0456259,-0.00893846,0.00537532,-0.0304684
"NA18506","YRI","orchid3","YRI",-0.0445506,-0.00853823,0.00578235,-0.0307576
"NA18507","YRI","orchid3","YRI",-0.0446713,-0.00822186,0.00597989,-0.0330216
"NA18508","YRI","orchid3","YRI",-0.0453029,-0.00889271,0.00597513,-0.0304472
"NA18509","YRI","orchid3","YRI",-0.0450693,-0.00684241,0.00723726,-0.0237603
"NA18510","YRI","orchid3","YRI",-0.045432,-0.00801788,0.00487711,-0.0291141
"NA18511","YRI","orchid3","YRI",-0.0460037,-0.00772069,0.00553308,-0.0242922
"NA18515","YRI","orchid3","YRI",-0.0461925,-0.00910202,0.00578041,-0.0297962
"NA18516","YRI","orchid3","YRI",-0.0463561,-0.00910524,0.00341774,-0.0321905
"NA18517","YRI","orchid3","YRI",-0.0456724,-0.0092348,0.00771097,-0.0296472
"NA18518","YRI","orchid3","YRI",-0.0451463,-0.00952016,0.00561171,-0.0294431
"NA18519","YRI","orchid3","YRI",-0.0456569,-0.00903692,0.00393975,-0.0295971
"NA18520","YRI","orchid3","YRI",-0.0456135,-0.00937427,0.00512781,-0.0300738
